NOME_ESTACAO;CH_MED;CH_DP;CH4_MED;CH4_DP;CO_MED;CO_DP;DV_MED;DV_DP;ERT_MED;ERT_DP;H2S_MED;H2S_DP;HCT_MED;HCT_DP;HCNM_MED;HCNM_DP;IQAR_MED;IQAR_DP;MP10_MED;MP10_DP;MP2.5_MED;MP2.5_DP;NH3_MED;NH3_DP;NO_MED;NO_DP;NO2_MED;NO2_DP;NOX_MED;NOX_DP;O3_MED;O3_DP;PRESS_MED;PRESS_DP;PTS_MED;PTS_DP;RAD_MED;RAD_DP;SO2_MED;SO2_DP;TEMP_MED;TEMP_DP;U_MED;U_DP;UR_MED;UR_DP;VV_MED;VV_DP
CAPÃO REDONDO;;;;;;;;;;;;;;;;;24.7533;13.9139;26.3171;12.6717;;;;;;;;;;;23.6606;14.6209;;;;;;;;;;;;;;;;
CARAPICUÍBA;;;;;4.06977;1.30999;;;;;;;;;;;22.4511;12.1721;25.2695;13.2724;;;;;;;;;;;18.559;8.41052;;;;;;;;;;;;;;;;
CARIRU;;;;;0.238347;0.268268;;;;;;;;;;;9.34986;11.4731;27.81;85.1033;13.1897;65.5641;;;;;;;;;;;;;33.7905;15.9659;;;;;;;;;;;;
CASCATA;;;;;0.767746;0.31442;;;;;;;;;;;10.2;13.3564;17.7195;14.6934;18.4626;44.3744;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA;;;;;;;;;;;;;;;;;28.6009;14.2485;32.8995;14.9407;;;;;;;;;;;20.5467;8.10374;;;;;;;;;;;;;;;;
CECÍLIA MEIRELES;;;;;;;;;;;;;;;;;22.6801;16.1475;136.119;297.539;25.9587;90.4199;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO ADMINISTRATIVO BETIM;;;;;0.388255;0.395763;;;;;;;;;;;14.8121;20.7371;30.4871;26.2603;22.6925;96.8754;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO AV. DO CONTORNO;;;;;0.385853;0.220339;;;;;;;;;;;11.4908;19.081;19.9215;26.0953;91.4232;261.105;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO;143.956;168.502;;;0.423944;0.281023;161.89;73.8963;;;;;;;;;25.1194;25.2239;41.9238;20.5404;;;;;;;;;;;33.3096;22.9271;1.35205;0.00591304;;;134.025;227.677;;;25.8542;4.34711;;;61.5755;22.7822;0.203413;0.1148
CENTRO;;;;;;;;;;;;;;;;;39.6958;34.048;111.285;214.327;67.4083;211.544;;;;;;;;;;;;;;;;;;;;;;;;;;
CERQUEIRA CÉSAR;;;;;2.0;1.12815;;;;;;;;;;;19.2866;10.5784;19.6692;10.5528;;;;;;;9.41743;3.97758;;;;;;;;;;;9.15152;5.37176;;;;;;;;
CID.UNIVERSITÁRIA-USP-IPEN;;;;;;;;;;;;;;;;;26.8058;14.697;;;27.8427;13.966;;;;;;;;;25.4702;15.4828;;;;;;;;;;;;;;;;
CIDADE NOBRE;;;;;0.26439;0.287684;;;;;;;;;;;10.1287;11.6563;21.5559;12.8223;11.3312;28.9089;;;;;;;;;;;;;32.4774;16.7192;;;;;;;;;;;;
CLUBE DO UNIÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.9418;145.431;;;;;;;;;;;;
CONGONHAS;;;;;3.4;0.489898;;;;;;;;;;;25.7326;12.3798;20.6084;8.84052;27.5282;12.6602;;;;;16.6605;6.44699;;;;;;;;;;;4.0;0.0;;;;;;;;
COPACABANA;40.6022;54.0021;;;8.11818;3.44563;193.532;68.1178;;;;;;;;;29.9616;18.2247;37.2339;22.1447;;;;;;;;;;;26.673;16.6339;1.35354;0.00547629;;;48.6157;84.2152;;;25.1811;3.1151;;;77.6789;14.9879;0.188066;0.105434
COPASA;;;;;;;;;;;;;;;;;29.5836;23.5138;24.0813;21.8836;;;;;;;;;;;;;;;31.4102;33.4449;;;;;;;;;;;;
CUBATÃO-CENTRO;;;;;;;;;;;;;;;;;24.8105;13.2932;23.8408;11.5065;;;;;;;10.1915;6.05169;;;21.4928;12.5914;;;;;;;29.2758;16.2828;;;;;;;;
CUBATÃO-V.PARISI;;;;;;;;;;;;;;;;;54.5507;30.1445;55.0368;30.1649;;;;;;;13.3333;12.2202;;;;;;;;;;;46.0766;25.4641;;;;;;;;
CUBATÃO-VALE DO MOGI;;;;;;;;;;;;;;;;;28.2929;11.5277;28.3501;11.1828;;;;;;;12.25;1.08972;;;30.7022;20.2869;;;;;;;27.5722;9.35763;;;;;;;;
CÂMARA;;;;;;;153.134;64.7185;;;;;;;;;13.4787;14.8695;;;;;;;5.61012;8.33632;11.8367;9.32297;17.3264;14.5805;25.2701;15.401;;;;;;;2.73836;8.88426;;;;;;;1.66888;1.07829
CÉLVIA;;;;;;;;;;;;;;;;;15.4257;15.532;50.4987;162.131;27.0355;136.838;;;;;;;;;;;;;;;;;;;;;;;;;;
CÓRREGOS;;;;;;;;;;;;;;;;;9.42522;14.4594;52.688;163.098;23.2857;127.499;;;;;;;;;;;;;42.5984;134.261;;;;;;;;;;;;
DIADEMA;;;;;;;;;;;;;;;;;21.478;10.593;21.4936;9.67059;;;;;;;;;;;21.4514;12.0044;;;;;;;;;;;;;;;;
