NOME_ESTACAO;CH_MED;CH_DP;CH4_MED;CH4_DP;CO_MED;CO_DP;DV_MED;DV_DP;ERT_MED;ERT_DP;H2S_MED;H2S_DP;HCT_MED;HCT_DP;HCNM_MED;HCNM_DP;IQAR_MED;IQAR_DP;MP10_MED;MP10_DP;MP2.5_MED;MP2.5_DP;NH3_MED;NH3_DP;NO_MED;NO_DP;NO2_MED;NO2_DP;NOX_MED;NOX_DP;O3_MED;O3_DP;PRESS_MED;PRESS_DP;PTS_MED;PTS_DP;RAD_MED;RAD_DP;SO2_MED;SO2_DP;TEMP_MED;TEMP_DP;U_MED;U_DP;UR_MED;UR_DP;VV_MED;VV_DP
RAMQAR 3 - JARDIM CAMBURI;;;;;;;;;;;;;;;;;4.14296;3.83114;;;;;;;;;3.49306;2.00882;;;;;;;;;;;5.04417;5.29502;;;;;;;;
RAMQAR 4 - ENSEADA DO SUÁ;;;;;;;;;;;;;;;;;10.2071;7.71312;13.6999;5.04606;;;;;;;4.21325;3.31912;;;17.8332;6.63495;;;;;;;7.79222;6.83577;;;;;;;;
RAMQAR 5 - VITÓRIA - CENTRO;;;;;2.02263;0.948256;;;;;;;;;;;6.2835;5.7673;15.1701;6.56638;;;;;;;;;;;;;;;;;;;7.54493;4.87912;;;;;;;;
RAMQAR 6 - VILA VELHA - IBES;;;;;1.49659;0.559493;;;;;;;;;;;9.26267;8.30684;16.2056;5.43689;;;;;;;3.18966;2.28657;;;17.495;7.38012;;;;;;;8.87255;6.41238;;;;;;;;
RAMQAR 8 - VILA CAPIXABA;;;;;1.38322;0.604966;;;;;;;;;;;3.09616;2.57921;;;;;;;;;4.84503;2.64883;;;;;;;;;;;;;;;;;;;;
RAMQAR 9 - CIDADE CONTINENTAL;;;;;;;;;;;;;;;;;1.70587;3.4629;;;;;;;;;1.55831;1.25214;;;;;;;;;;;2.86414;9.60724;;;;;;;;
REPAR;;;;;0.838323;0.319991;;;;;;;;;;;12.1047;15.7031;11.3907;10.5604;10.5711;10.1825;;;;;8.65727;7.8851;;;32.9065;13.9767;;;;;;;3.39001;9.09193;;;;;;;;
RIO GRANDE/MOVEL;;;;;1.71045;0.621674;;;;;;;;;;;20.4313;24.1673;30.0227;29.0978;;;;;;;11.5723;7.99679;;;43.5367;22.2779;;;;;;;17.4765;9.18553;;;;;;;;
RIBEIRÃO PRETO;;;;;;;;;;;;;;;;;31.5995;16.2536;38.548;18.1849;31.4897;17.8375;;;;;;;;;23.7875;7.64114;;;;;;;;;;;;;;;;
RIO CLARO-JD.GUANABARA;;;;;;;;;;;;;;;;;35.7183;18.8086;41.9082;19.5828;25.1001;11.5062;;;;;;;;;23.9852;9.12816;;;;;;;;;;;;;;;;
S.ANDRÉ-CAPUAVA;;;;;;;;;;;;;;;;;25.2458;12.7608;27.0271;12.0583;;;;;;;21.5;7.5;;;22.3248;13.4886;;;;;;;16.6538;3.95755;;;;;;;;
S.BERNARDO-CENTRO;;;;;;;;;;;;;;;;;25.3513;13.3188;;;26.5112;11.5365;;;;;12.375;3.03881;;;23.9526;15.1123;;;;;;;;;;;;;;;;
S.BERNARDO-PAULICÉIA;;;;;;;;;;;;;;;;;19.8618;10.9009;19.8618;10.9009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S.JOSÉ CAMPOS-JD.SATELITE;;;;;;;;;;;;;;;;;21.719;8.92076;23.4109;8.04111;25.314;10.1582;;;;;6.26389;2.24223;;;19.8956;7.86699;;;;;;;;;;;;;;;;
S.JOSÉ CAMPOS;;;;;;;;;;;;;;;;;21.3108;8.2033;21.017;8.21663;;;;;;;3.01695;2.52775;;;21.6949;8.06177;;;;;;;21.6154;14.2642;;;;;;;;
SAAE;;;;;;;;;;;;;;;;;49.9284;42.4034;64.9102;126.704;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAC VALE DO AÇO;;;;;;;;;;;;;;;;;25.0605;20.0514;63.9982;168.06;34.0343;137.335;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI/CFP;;;;;;;;;;;;;;;;;27.4009;26.1658;46.4982;132.307;;;;;;;;;;;;;;;62.4734;115.406;;;;;;;;;;;;
SANTA GERTRUDES;;;;;;;;;;;;;;;;;44.3541;21.9771;44.5617;22.0948;36.1686;14.4842;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTANA;;;;;;;;;;;;;;;;;25.4808;13.3749;;;28.147;13.7925;;;;;;;;;19.7686;10.3438;;;;;;;;;;;;;;;;
SANTO AMARO;;;;;3.21429;1.52027;;;;;;;;;;;20.34;10.6965;20.1635;10.6029;;;;;;;;;;;20.8501;10.7433;;;;;;;;;;;;;;;;
SANTOS-PONTA DA PRAIA;;;;;;;;;;;;;;;;;21.9403;10.6179;24.731;12.1234;20.1768;8.95732;;;;;10.2297;2.03049;;;18.7438;7.96952;;;;;;;21.4633;3.00474;;;;;;;;
SANTOS;;;;;;;;;;;;;;;;;18.4185;7.87098;19.2234;8.29965;;;;;;;;;;;16.01;5.93497;;;;;;;;;;;;;;;;
SAPO;;;;;;;;;;;;;;;;;14.9755;8.55255;34.644;122.165;40.7878;168.59;;;;;;;;;;;;;72.9045;201.584;;;;;;;;;;;;
SOROCABA;;;;;;;;;;;;;;;;;20.4552;8.56034;22.1934;9.58288;;;;;;;9.55556;1.49897;;;17.7857;5.69727;;;;;;;;;;;;;;;;
SÃO CAETANO DO SUL;;;;;1.8125;1.1302;;;;;;;;;;;25.697;12.6273;23.1064;10.9318;28.7799;13.0212;;;;;38.3077;32.1089;;;22.4333;11.282;;;;;;;;;;;;;;;;
SÃO CRISTÓVÃO;71.6145;88.3611;;;;;195.29;68.5251;;;;;;;;;30.2846;23.8411;36.4941;25.08;;;;;;;;;;;24.9376;22.8461;1.35117;0.00561978;;;118.879;191.61;;;19.3821;12.172;;;27.9345;35.1548;0.237134;0.165864
SÃO DOMINGOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.8674;168.387;;;;;;;;;;;;
SÃO JOSÉ DO RIO PRETO;;;;;;;;;;;;;;;;;30.0513;15.4662;34.2039;14.8711;25.796;18.2943;;;;;9.5;3.5;;;23.6231;12.6889;;;;;;;;;;;;;;;;
SÉRGIO ULHOA;;;;;;;;;;;;;;;;;23.8553;24.74;58.2732;164.569;64.2355;216.455;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIUNFO/POLO PETROQUÍMICO/MÓVEL;;;;;0.0599587;0.0873427;;;;;;;;;;;6.54906;7.86118;37.908;12.1873;;;;;;;7.05522;5.62444;;;13.5296;9.88969;;;;;;;0.646567;0.857845;;;;;;;;
TABOÃO DA SERRA;;;;;4.37607;3.18578;;;;;;;;;;;21.9487;13.6124;22.2076;13.5449;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATUÍ;;;;;;;;;;;;;;;;;21.48;9.81173;25.6133;12.0819;;;;;;;;;;;19.1829;7.34009;;;;;;;;;;;;;;;;
TAUBATÉ;;;;;;;;;;;;;;;;;21.7639;9.41698;24.9904;9.73122;19.906;8.39708;;;;;15.625;5.02338;;;21.6387;9.58506;;;;;;;;;;;;;;;;
TIJUCA;107.103;217.385;;;0.851778;14.7053;205.818;69.0266;;;;;;;;;32.1037;22.2986;28.2262;17.7759;;;;;12.293;12.9946;35.9686;26.4003;47.9678;33.6061;32.7672;25.1031;1.35076;0.00540452;;;148.676;246.659;-9.999;3.55271e-15;28.1135;5.58052;;;64.6862;20.9263;0.153705;0.101019
VENEZA;;;;;0.33168;0.275647;;;;;;;;;;;11.7571;14.1801;24.5386;15.5938;14.5779;62.6794;;;;;;;;;;;;;46.0014;27.509;;;;;;;;;;;;
