 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação
Classif. Final: Confirmado
Período:2009-2010
"Município de notificação";"Freqüência"
"314480 NOVA LIMA";35
"314530 NOVO CRUZEIRO";16
"314535 NOVO ORIENTE DE MINAS";1
"314560 OLIVEIRA";4
"314590 OURO BRANCO";1
"314600 OURO FINO";1
"314670 PALMA";2
"314700 PARACATU";1
"314710 PARA DE MINAS";2
"314730 PARAISOPOLIS";1
"314790 PASSOS";3
"314800 PATOS DE MINAS";11
"314810 PATROCINIO";6
"314820 PATROCINIO DO MURIAE";2
"314890 PEDRA DO INDAIA";1
"314930 PEDRO LEOPOLDO";4
"314950 PEQUERI";1
"314990 PERDOES";1
"315120 PIRAPORA";3
"315140 PITANGUI";2
"315150 PIUMHI";2
"315180 POCOS DE CALDAS";46
"315210 PONTE NOVA";4
"315250 POUSO ALEGRE";14
"315310 PRESIDENTE BERNARDES";1
"315400 RAUL SOARES";1
"315460 RIBEIRAO DAS NEVES";5
"315580 RIO POMBA";2
"315600 RIO VERMELHO";1
"315670 SABARA";9
"315690 SACRAMENTO";5
"315720 SANTA BARBARA";1
"315780 SANTA LUZIA";2
"315840 SANTANA DE CATAGUASES";1
"315960 SANTA RITA DO SAPUCAI";1
"316040 SANTO ANTONIO DO MONTE";3
"316130 SAO FRANCISCO DE SALES";1
"316190 SAO GONCALO DO RIO ABAIXO";2
"316210 SAO GOTARDO";1
"316250 SAO JOAO DEL REI";8
"316280 SAO JOAO EVANGELISTA";3
"316290 SAO JOAO NEPOMUCENO";3
"316370 SAO LOURENCO";8
"316447 SAO SEBASTIAO DO ANTA";1
"316470 SAO SEBASTIAO DO PARAISO";5
"316553 SARZEDO";3
"316620 SENHORA DOS REMEDIOS";1
"316720 SETE LAGOAS";18
"316860 TEOFILO OTONI";7
"316870 TIMOTEO";3
"316930 TRES CORACOES";5
"316935 TRES MARIAS";1
"316940 TRES PONTAS";28
"316990 UBA";22
"317010 UBERABA";28
"317020 UBERLANDIA";46
"317040 UNAI";1
"317070 VARGINHA";20
"317120 VESPASIANO";5
"317130 VICOSA";9
"317170 VIRGINIA";1
"317200 VISCONDE DO RIO BRANCO";5
"320120 CACHOEIRO DE ITAPEMIRIM";7
"320130 CARIACICA";2
"320140 CASTELO";2
"320150 COLATINA";1
"320240 GUARAPARI";1
"320280 ITAPEMIRIM";3
"320320 LINHARES";8
"320330 MANTENOPOLIS";1
"320332 MARATAIZES";2
"320340 MIMOSO DO SUL";6
"320455 SANTA MARIA DE JETIBA";1
"320460 SANTA TERESA";2
"320470 SAO GABRIEL DA PALHA";1
"320490 SAO MATEUS";1
"320500 SERRA";36
"320520 VILA VELHA";7
"320530 VITORIA";40
"330010 ANGRA DOS REIS";30
"330020 ARARUAMA";8
"330022 AREAL";6
"330023 ARMACAO DOS BUZIOS";1
"330025 ARRAIAL DO CABO";2
"330030 BARRA DO PIRAI";6
"330040 BARRA MANSA";4
"330045 BELFORD ROXO";1
"330060 BOM JESUS DO ITABAPOANA";12
"330070 CABO FRIO";2
"330080 CACHOEIRAS DE MACACU";7
"330093 CARAPEBUS";6
"330100 CAMPOS DOS GOYTACAZES";142
"330130 CASIMIRO DE ABREU";3
"330150 CORDEIRO";10
"330170 DUQUE DE CAXIAS";326
"330185 GUAPIMIRIM";1
"330190 ITABORAI";1
"330200 ITAGUAI";1
"330220 ITAPERUNA";12
"330227 JAPERI";3
"330240 MACAE";98
"330250 MAGE";12
"330260 MANGARATIBA";2
"330270 MARICA";10
"330285 MESQUITA";4
"330320 NILOPOLIS";35
"330330 NITEROI";196
"330340 NOVA FRIBURGO";27
"330350 NOVA IGUACU";86
"330385 PATY DO ALFERES";4
"330390 PETROPOLIS";82
"330395 PINHEIRAL";1
"330400 PIRAI";20
"330410 PORCIUNCULA";2
"330411 PORTO REAL";14
"330415 QUISSAMA";8
"330420 RESENDE";21
"330430 RIO BONITO";29
"330452 RIO DAS OSTRAS";13
"330455 RIO DE JANEIRO";1733
"330470 SANTO ANTONIO DE PADUA";1
"330475 SAO FRANCISCO DE ITABAPOANA";8
"330490 SAO GONCALO";142
"330510 SAO JOAO DE MERITI";5
"330520 SAO PEDRO DA ALDEIA";2
"330580 TERESOPOLIS";16
"330600 TRES RIOS";2
"330610 VALENCA";12
"330620 VASSOURAS";8
"330630 VOLTA REDONDA";36
"350010 ADAMANTINA";23
"350030 AGUAI";1
"350070 AGUDOS";5
"350115 ALUMINIO";1
"350160 AMERICANA";21
"350170 AMERICO BRASILIENSE";4
"350190 AMPARO";10
"350210 ANDRADINA";15
"350250 APARECIDA";2
"350260 APARECIDA D'OESTE";1
"350270 APIAI";1
"350275 ARACARIGUAMA";1
"350280 ARACATUBA";17
"350320 ARARAQUARA";11
"350330 ARARAS";27
"350400 ASSIS";25
"350410 ATIBAIA";18
"350420 AURIFLAMA";4
"350450 AVARE";17
"350520 BARIRI";45
"350530 BARRA BONITA";14
"350550 BARRETOS";39
"350570 BARUERI";17
"350590 BATATAIS";4
"350600 BAURU";104
"350610 BEBEDOURO";25
"350635 BERTIOGA";3
"350650 BIRIGUI";5
"350700 BOITUVA";8
"350740 BORBOREMA";1
"350750 BOTUCATU";29
"350760 BRAGANCA PAULISTA";21
"350790 BROTAS";1
"350810 BURITAMA";6
"350850 CACAPAVA";18
"350870 CACONDE";2
"350900 CAIEIRAS";9
"350920 CAJAMAR";3
"350945 CAMPINA DO MONTE ALEGRE";1
"350950 CAMPINAS";264
"350960 CAMPO LIMPO PAULISTA";2
"350970 CAMPOS DO JORDAO";49
"351000 CANDIDO MOTA";3
"351020 CAPAO BONITO";43
"351040 CAPIVARI";3
"351050 CARAGUATATUBA";6
"351060 CARAPICUIBA";9
"351080 CASA BRANCA";5
"351110 CATANDUVA";76
"351170 CHARQUEADA";2
"351220 CONCHAL";12
"351230 CONCHAS";2
"351300 COTIA";26
"351340 CRUZEIRO";3
"351350 CUBATAO";8
"351380 DIADEMA";45
"351390 DIVINOLANDIA";1
"351410 DOIS CORREGOS";20
"351440 DRACENA";12
"351500 EMBU DAS ARTES";5
"351518 ESPIRITO SANTO DO PINHAL";2
"351520 ESTRELA D'OESTE";1
"351540 FARTURA";5
"351550 FERNANDOPOLIS";8
"351570 FERRAZ DE VASCONCELOS";11
"351600 FLORIDA PAULISTA";3
"351620 FRANCA";49
"351630 FRANCISCO MORATO";5
"351640 FRANCO DA ROCHA";4
"351740 GUAIRA";5
"351770 GUARA";1
"351820 GUARARAPES";18
"351840 GUARATINGUETA";49
"351870 GUARUJA";2
"351880 GUARULHOS";121
"351890 GUZOLANDIA";5
"351907 HORTOLANDIA";5
"351910 IACANGA";5
"351925 IARAS";2
"351960 IBITINGA";4
"352000 IGARACU DO TIETE";20
"352040 ILHABELA";9
"352044 ILHA SOLTEIRA";6
"352050 INDAIATUBA";11
"352170 ITABERA";1
"352180 ITAI";5
"352220 ITAPECERICA DA SERRA";32
"352230 ITAPETININGA";71
"352240 ITAPEVA";103
"352250 ITAPEVI";13
"352260 ITAPIRA";4
"352270 ITAPOLIS";3
"352280 ITAPORANGA";14
"352290 ITAPUI";4
"352310 ITAQUAQUECETUBA";10
"352320 ITARARE";1
"352340 ITATIBA";32
"352350 ITATINGA";2
"352390 ITU";34
"352410 ITUVERAVA";1
"352430 JABOTICABAL";6
"352440 JACAREI";46
"352470 JAGUARIUNA";5
"352480 JALES";4
"352500 JANDIRA";1
"352520 JARINU";2
"352530 JAU";13
"352590 JUNDIAI";72
"352640 LARANJAL PAULISTA";13
"352670 LEME";5
"352680 LENCOIS PAULISTA";33
"352690 LIMEIRA";20
"352710 LINS";9
"352720 LORENA";31
"352730 LOUVEIRA";11
"352740 LUCELIA";1
"352800 MACATUBA";17
"352840 MAIRINQUE";1
"352850 MAIRIPORA";5
"352900 MARILIA";90
"352930 MATAO";5
"352940 MAUA";42
"353050 MOCOCA";10
"353060 MOGI DAS CRUZES";47
"353070 MOGI GUACU";17
"353080 MOGI MIRIM";16
"353130 MONTE ALTO";7
"353150 MONTE AZUL PAULISTA";4
"353180 MONTE MOR";2
"353190 MORRO AGUDO";13
"353200 MORUNGABA";21
"353240 NAZARE PAULISTA";2
"353300 NOVA GRANADA";12
"353340 NOVA ODESSA";2
"353350 NOVO HORIZONTE";3
"353390 OLIMPIA";21
"353440 OSASCO";58
"353460 OSVALDO CRUZ";4
"353470 OURINHOS";12
"353490 PACAEMBU";1
"353530 PALMITAL";1
"353540 PANORAMA";1
"353550 PARAGUACU PAULISTA";4
"353580 PARANAPANEMA";7
"353620 PARIQUERA-ACU";37
"353630 PATROCINIO PAULISTA";1
"353650 PAULINIA";10
"353670 PEDERNEIRAS";19
"353730 PENAPOLIS";6
"353740 PEREIRA BARRETO";1
"353780 PIEDADE";2
"353790 PILAR DO SUL";22
"353800 PINDAMONHANGABA";14
"353860 PIRACAIA";2
"353870 PIRACICABA";42
"353880 PIRAJU";1
"353900 PIRANGI";2
"353940 PIRATININGA";2
"353950 PITANGUEIRAS";4
"353980 POA";1
"354025 PONTALINDA";3
"354060 PORTO FELIZ";23
"354070 PORTO FERREIRA";2
"354100 PRAIA GRANDE";9
"354130 PRESIDENTE EPITACIO";5
"354140 PRESIDENTE PRUDENTE";65
"354150 PRESIDENTE VENCESLAU";5
"354160 PROMISSAO";3
"354260 REGISTRO";1
"354300 RIBEIRAO BRANCO";1
"354330 RIBEIRAO PIRES";18
"354340 RIBEIRAO PRETO";139
"354390 RIO CLARO";16
"354400 RIO DAS PEDRAS";9
"354425 ROSANA";19
"354520 SALTO";10
"354530 SALTO DE PIRAPORA";4
"354580 SANTA BARBARA D'OESTE";13
"354630 SANTA CRUZ DAS PALMEIRAS";1
"354660 SANTA FE DO SUL";3
"354730 SANTANA DE PARNAIBA";2
"354750 SANTA RITA DO PASSA QUATRO";2
"354780 SANTO ANDRE";168
"354850 SANTOS";115
"354870 SAO BERNARDO DO CAMPO";108
"354880 SAO CAETANO DO SUL";59
"354890 SAO CARLOS";1
"354910 SAO JOAO DA BOA VISTA";9
"354940 SAO JOAQUIM DA BARRA";1
"354970 SAO JOSE DO RIO PARDO";17
"354980 SAO JOSE DO RIO PRETO";124
"354990 SAO JOSE DOS CAMPOS";38
"355010 SAO MANUEL";17
"355030 SAO PAULO";3950
"355060 SAO ROQUE";15
"355070 SAO SEBASTIAO";32
"355080 SAO SEBASTIAO DA GRAMA";5
"355100 SAO VICENTE";6
"355150 SERRANA";6
"355160 SERRA NEGRA";10
"355170 SERTAOZINHO";23
"355210 SOCORRO";7
"355220 SOROCABA";193
"355230 SUD MENNUCCI";5
"355240 SUMARE";9
"355250 SUZANO";12
"355270 TABATINGA";1
"355280 TABOAO DA SERRA";21
"355330 TAMBAU";2
"355360 TAPIRATIBA";2
"355370 TAQUARITINGA";2
"355380 TAQUARITUBA";7
"355400 TATUI";14
"355410 TAUBATE";86
"355450 TIETE";5
"355490 TRES FRONTEIRAS";1
"355500 TUPA";62
"355510 TUPI PAULISTA";1
"355540 UBATUBA";14
"355620 VALINHOS";23
"355640 VARGEM GRANDE DO SUL";20
