 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação
Classif. Final: Confirmado
Período:2009-2010
"Município de notificação";"Freqüência"
"412635 SERRANOPOLIS DO IGUACU";9
"412640 SERTANEJA";22
"412650 SERTANOPOLIS";168
"412660 SIQUEIRA CAMPOS";22
"412665 SULINA";1
"412667 TAMARANA";18
"412670 TAMBOARA";4
"412680 TAPEJARA";16
"412700 TEIXEIRA SOARES";3
"412710 TELEMACO BORBA";174
"412720 TERRA BOA";29
"412730 TERRA RICA";2
"412740 TERRA ROXA";24
"412750 TIBAGI";11
"412770 TOLEDO";392
"412780 TOMAZINA";13
"412785 TRES BARRAS DO PARANA";25
"412788 TUNAS DO PARANA";2
"412790 TUNEIRAS DO OESTE";3
"412796 TURVO";37
"412800 UBIRATA";103
"412810 UMUARAMA";36
"412820 UNIAO DA VITORIA";140
"412830 UNIFLOR";3
"412840 URAI";88
"412850 WENCESLAU BRAZ";11
"412855 VERA CRUZ DO OESTE";34
"412860 VERE";4
"412865 VIRMOND";1
"412870 VITORINO";9
"420010 ABELARDO LUZ";4
"420060 AGUAS MORNAS";1
"420080 ANCHIETA";1
"420100 ANITA GARIBALDI";6
"420127 ARABUTA";4
"420140 ARARANGUA";25
"420150 ARMAZEM";3
"420200 BALNEARIO CAMBORIU";22
"420230 BIGUACU";1
"420240 BLUMENAU";80
"420243 BOCAINA DO SUL";1
"420260 BOM RETIRO";1
"420280 BRACO DO NORTE";30
"420290 BRUSQUE";28
"420300 CACADOR";32
"420310 CAIBI";7
"420320 CAMBORIU";2
"420330 CAMPO ALEGRE";1
"420350 CAMPO ERE";23
"420360 CAMPOS NOVOS";6
"420380 CANOINHAS";29
"420390 CAPINZAL";2
"420395 CAPIVARI DE BAIXO";21
"420410 CAXAMBU DO SUL";7
"420420 CHAPECO";60
"420425 COCAL DO SUL";1
"420430 CONCORDIA";52
"420450 CORUPA";1
"420460 CRICIUMA";108
"420480 CURITIBANOS";19
"420490 DESCANSO";1
"420500 DIONISIO CERQUEIRA";1
"420515 DOUTOR PEDRINHO";2
"420520 ERVAL VELHO";2
"420530 FAXINAL DOS GUEDES";9
"420540 FLORIANOPOLIS";211
"420545 FORQUILHINHA";5
"420550 FRAIBURGO";18
"420570 GAROPABA";7
"420590 GASPAR";13
"420600 GOVERNADOR CELSO RAMOS";1
"420620 GRAVATAL";1
"420640 GUARACIABA";1
"420650 GUARAMIRIM";23
"420660 GUARUJA DO SUL";1
"420680 IBICARE";2
"420690 IBIRAMA";19
"420700 ICARA";16
"420720 IMARUI";8
"420730 IMBITUBA";18
"420750 INDAIAL";27
"420760 IPIRA";1
"420765 IPORA DO OESTE";2
"420770 IPUMIRIM";8
"420800 ITA";1
"420810 ITAIOPOLIS";2
"420820 ITAJAI";67
"420830 ITAPEMA";3
"420840 ITAPIRANGA";6
"420850 ITUPORANGA";5
"420870 JACINTO MACHADO";1
"420880 JAGUARUNA";22
"420890 JARAGUA DO SUL";113
"420900 JOACABA";30
"420910 JOINVILLE";194
"420915 JOSE BOITEUX";1
"420930 LAGES";37
"420940 LAGUNA";20
"420960 LAURO MULLER";5
"420985 LINDOIA DO SUL";12
"421003 LUZERNA";1
"421010 MAFRA";8
"421050 MARAVILHA";4
"421055 MAREMA";1
"421060 MASSARANDUBA";3
"421080 MELEIRO";3
"421090 MODELO";1
"421105 MONTE CARLO";2
"421110 MONTE CASTELO";1
"421120 MORRO DA FUMACA";9
"421130 NAVEGANTES";16
"421140 NOVA ERECHIM";2
"421160 NOVA VENEZA";13
"421170 ORLEANS";30
"421180 OURO";1
"421190 PALHOCA";2
"421200 PALMA SOLA";4
"421210 PALMITOS";11
"421220 PAPANDUVA";1
"421250 PENHA";1
"421260 PERITIBA";1
"421270 PETROLANDIA";1
"421280 BALNEARIO PICARRAS";6
"421290 PINHALZINHO";15
"421310 PIRATUBA";6
"421320 POMERODE";7
"421340 PONTE SERRADA";1
"421360 PORTO UNIAO";14
"421380 PRAIA GRANDE";1
"421390 PRESIDENTE CASTELLO BRANCO";1
"421420 QUILOMBO";4
"421440 RIO DAS ANTAS";1
"421480 RIO DO SUL";8
"421490 RIO FORTUNA";3
"421500 RIO NEGRINHO";2
"421540 SALTO VELOSO";1
"421545 SANGAO";2
"421550 SANTA CECILIA";6
"421555 SANTA HELENA";1
"421570 SANTO AMARO DA IMPERATRIZ";1
"421580 SAO BENTO DO SUL";24
"421590 SAO BONIFACIO";2
"421600 SAO CARLOS";6
"421610 SAO DOMINGOS";5
"421620 SAO FRANCISCO DO SUL";9
"421630 SAO JOAO BATISTA";3
"421660 SAO JOSE";44
"421670 SAO JOSE DO CEDRO";6
"421680 SAO JOSE DO CERRITO";4
"421690 SAO LOURENCO DO OESTE";21
"421710 SAO MARTINHO";1
"421720 SAO MIGUEL DO OESTE";11
"421730 SAUDADES";8
"421740 SCHROEDER";2
"421750 SEARA";5
"421770 SOMBRIO";8
"421790 TANGARA";2
"421820 TIMBO";5
"421830 TRES BARRAS";10
"421835 TREVISO";3
"421840 TREZE DE MAIO";2
"421870 TUBARAO";231
"421875 TUNAPOLIS";8
"421880 TURVO";3
"421900 URUSSANGA";3
"421910 VARGEAO";2
"421930 VIDEIRA";33
"421950 XANXERE";26
"421960 XAVANTINA";3
"421970 XAXIM";19
"430010 AGUDO";1
"430040 ALEGRETE";18
"430055 ALTO ALEGRE";1
"430060 ALVORADA";43
"430064 AMETISTA DO SUL";1
"430070 ANTA GORDA";1
"430080 ANTONIO PRADO";1
"430100 ARROIO DO MEIO";1
"430130 ARROIO GRANDE";14
"430140 ARVOREZINHA";1
"430155 AUREA";1
"430160 BAGE";31
"430163 BALNEARIO PINHAL";1
"430170 BARAO DE COTEGIPE";4
"430185 BARRA DO GUARITA";2
"430192 BARRA DO RIO AZUL";1
"430210 BENTO GONCALVES";83
"430230 BOM JESUS";1
"430235 BOM PRINCIPIO";1
"430280 CACAPAVA DO SUL";2
"430300 CACHOEIRA DO SUL";6
"430310 CACHOEIRINHA";16
"430320 CACIQUE DOBLE";1
"430350 CAMAQUA";1
"430370 CAMPINA DAS MISSOES";9
"430380 CAMPINAS DO SUL";8
"430390 CAMPO BOM";14
"430420 CANDELARIA";6
"430430 CANDIDO GODOI";5
"430440 CANELA";16
"430450 CANGUCU";17
"430460 CANOAS";81
"430463 CAPAO DA CANOA";8
"430468 CAPELA DE SANTANA";1
"430470 CARAZINHO";11
"430480 CARLOS BARBOSA";3
"430510 CAXIAS DO SUL";144
"430520 CERRO LARGO";2
"430530 CHAPADA";1
"430535 CHARQUEADAS";1
"430545 CIDREIRA";3
"430610 CRUZ ALTA";9
"430640 DOIS IRMAOS";6
"430660 DOM PEDRITO";6
"430673 DOUTOR MAURICIO CARDOSO";1
"430675 DOUTOR RICARDO";1
"430680 ENCANTADO";4
"430690 ENCRUZILHADA DO SUL";1
"430695 ENTRE RIOS DO SUL";2
"430700 ERECHIM";104
"430710 HERVAL";1
"430730 ERVAL SECO";1
"430745 ESPERANCA DO SUL";1
"430750 ESPUMOSO";1
"430755 ESTACAO";6
"430760 ESTANCIA VELHA";13
"430770 ESTEIO";11
"430780 ESTRELA";10
"430790 FARROUPILHA";26
"430810 FELIZ";5
"430820 FLORES DA CUNHA";5
"430850 FREDERICO WESTPHALEN";17
"430860 GARIBALDI";11
"430890 GETULIO VARGAS";23
"430900 GIRUA";10
"430910 GRAMADO";10
"430920 GRAVATAI";16
"430930 GUAIBA";2
"430940 GUAPORE";7
"430950 GUARANI DAS MISSOES";1
"430960 HORIZONTINA";6
"431000 IBIRUBA";3
"431010 IGREJINHA";8
"431020 IJUI";12
"431030 ILOPOLIS";2
"431033 IMBE";1
"431050 IRAI";3
"431060 ITAQUI";13
"431080 IVOTI";11
"431090 JACUTINGA";1
"431100 JAGUARAO";2
"431112 JAQUIRANA";1
"431120 JULIO DE CASTILHOS";6
"431130 LAGOA VERMELHA";5
"431140 LAJEADO";11
"431164 LINHA NOVA";1
"431180 MARAU";4
"431190 MARCELINO RAMOS";2
"431200 MARIANO MORO";2
"431210 MATA";2
"431240 MONTENEGRO";33
"431250 MOSTARDAS";1
"431265 NAO-ME-TOQUE";8
"431270 NONOAI";8
"431290 NOVA BASSANO";2
"431310 NOVA PALMA";3
"431320 NOVA PETROPOLIS";4
"431330 NOVA PRATA";31
"431340 NOVO HAMBURGO";88
"431350 OSORIO";1
"431360 PAIM FILHO";2
"431370 PALMEIRA DAS MISSOES";4
"431380 PALMITINHO";1
"431400 PARAI";2
"431405 PAROBE";5
"431407 PASSO DO SOBRADO";1
"431410 PASSO FUNDO";93
"431420 PEDRO OSORIO";2
"431440 PELOTAS";79
"431442 PICADA CAFE";1
"431445 PINHAL";1
"431470 PLANALTO";2
"431478 PONTE PRETA";1
"431490 PORTO ALEGRE";499
"431500 PORTO LUCENA";4
"431510 PORTO XAVIER";1
"431531 QUATRO IRMAOS";1
"431535 QUINZE DE NOVEMBRO";2
"431550 RESTINGA SECA";1
"431560 RIO GRANDE";49
"431570 RIO PARDO";21
"431580 ROCA SALES";1
"431590 RODEIO BONITO";3
"431595 ROLADOR";1
"431610 RONDA ALTA";2
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";13
"431645 SALTO DO JACUI";1
"431660 SANANDUVA";7
"431670 SANTA BARBARA DO SUL";2
"431680 SANTA CRUZ DO SUL";139
"431690 SANTA MARIA";71
"431710 SANT'ANA DO LIVRAMENTO";20
"431720 SANTA ROSA";28
"431730 SANTA VITORIA DO PALMAR";9
"431740 SANTIAGO";20
"431750 SANTO ANGELO";13
"431760 SANTO ANTONIO DA PATRULHA";2
"431790 SANTO CRISTO";2
"431800 SAO BORJA";20
"431810 SAO FRANCISCO DE ASSIS";17
"431830 SAO GABRIEL";130
"431840 SAO JERONIMO";3
"431849 SAO JOSE DO INHACORA";1
"431850 SAO JOSE DO NORTE";10
"431860 SAO JOSE DO OURO";5
"431870 SAO LEOPOLDO";75
"431880 SAO LOURENCO DO SUL";4
"431890 SAO LUIZ GONZAGA";29
"431900 SAO MARCOS";1
"431915 SAO MIGUEL DAS MISSOES";1
"431940 SAO PEDRO DO SUL";1
"431950 SAO SEBASTIAO DO CAI";4
"431960 SAO SEPE";1
"431980 SAO VICENTE DO SUL";3
"431990 SAPIRANGA";20
"432000 SAPUCAIA DO SUL";18
"432020 SEBERI";11
"432032 SENADOR SALGADO FILHO";1
"432080 SOLEDADE";8
"432090 TAPEJARA";2
"432100 TAPERA";1
"432130 TAQUARI";2
"432132 TAQUARUCU DO SUL";3
"432140 TENENTE PORTELA";12
"432145 TEUTONIA";4
"432147 TIRADENTES DO SUL";1
"432150 TORRES";6
"432160 TRAMANDAI";8
"432180 TRES DE MAIO";9
"432190 TRES PASSOS";21
"432200 TRIUNFO";6
"432210 TUCUNDUVA";56
"432225 TUPANDI";3
"432230 TUPARENDI";1
"432240 URUGUAIANA";71
"432250 VACARIA";36
"432253 VALE DO SOL";2
"432260 VENANCIO AIRES";12
"432270 VERA CRUZ";3
"432280 VERANOPOLIS";6
"432290 VIADUTOS";1
"432300 VIAMAO";8
"432320 VICTOR GRAEFF";1
"432345 VILA NOVA DO SUL";2
"432360 VISTA ALEGRE DO PRATA";1
"500210 BELA VISTA";1
"500240 CAARAPO";2
"500270 CAMPO GRANDE";44
"500320 CORUMBA";2
"500370 DOURADOS";17
"500380 FATIMA DO SUL";1
"500520 LADARIO";1
"500540 MARACAJU";2
"500568 MUNDO NOVO";3
"500570 NAVIRAI";1
"500660 PONTA PORA";3
"500769 SAO GABRIEL DO OESTE";1
"500790 SIDROLANDIA";1
"500830 TRES LAGOAS";10
"510180 BARRA DO GARCAS";7
"510250 CACERES";4
"510260 CAMPINAPOLIS";7
"510263 CAMPO NOVO DO PARECIS";4
"510267 CAMPO VERDE";16
"510320 COLIDER";3
"510340 CUIABA";62
"510480 JACIARA";5
"510525 LUCAS DO RIO VERDE";26
"510622 NOVA MUTUM";6
"510704 PRIMAVERA DO LESTE";16
"510740 SAO PEDRO DA CIPA";1
"510760 RONDONOPOLIS";16
"510787 SAPEZAL";1
"510790 SINOP";3
"510792 SORRISO";11
"510795 TANGARA DA SERRA";4
"510840 VARZEA GRANDE";1
"520005 ABADIA DE GOIAS";1
"520025 AGUAS LINDAS DE GOIAS";5
"520030 ALEXANIA";2
"520110 ANAPOLIS";65
"520130 ANICUNS";1
"520140 APARECIDA DE GOIANIA";12
"520330 BELA VISTA DE GOIAS";26
"520390 BURITI ALEGRE";1
"520425 CACHOEIRA DOURADA";1
"520450 CALDAS NOVAS";5
"520465 CAMPINACU";1
"520510 CATALAO";21
"520540 CERES";29
"520551 COCALZINHO DE GOIAS";1
"520580 CORUMBA DE GOIAS";1
"520590 CORUMBAIBA";1
"520740 EDEIA";3
"520800 FORMOSA";3
"520860 GOIANESIA";1
"520870 GOIANIA";334
"520890 GOIAS";1
"520910 GOIATUBA";3
"520970 HIDROLANDIA";1
"521000 INHUMAS";1
"521040 ITABERAI";3
"521090 ITAPACI";1
"521150 ITUMBIARA";13
"521160 IVOLANDIA";1
"521180 JARAGUA";2
"521190 JATAI";11
"521230 LEOPOLDO DE BULHOES";1
"521250 LUZIANIA";3
"521308 MINACU";24
"521310 MINEIROS";15
"521375 MONTIVIDIU";1
"521380 MORRINHOS";3
"521450 NEROPOLIS";12
"521483 NOVA CRIXAS";2
"521640 PARAUNA";1
"521710 PIRACANJUBA";1
"521740 PIRES DO RIO";1
"521760 PLANALTINA";2
"521800 PORANGATU";2
"521850 QUIRINOPOLIS";1
"521880 RIO VERDE";11
"521900 SANCLERLANDIA";1
"521930 SANTA HELENA DE GOIAS";3
"521935 SANTA ISABEL";1
"522010 SAO LUIS DE MONTES BELOS";1
"522020 SAO MIGUEL DO ARAGUAIA";1
"522040 SAO SIMAO";2
"522045 SENADOR CANEDO";4
"522140 TRINDADE";1
"522155 TURVELANDIA";1
"522185 VALPARAISO DE GOIAS";1
"522200 VIANOPOLIS";7
"530010 BRASILIA";418
"Total";54171
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 As duplicidades e inconsistências do banco de dados foram corrigidas.
 Os dados são referentes aos anos de 2009 e 2010, período da pandemia pelo vírus da influenza pandêmica A (H1N1) 2009.
 A base de dados do ano de 2009 foi encerrada em 02/08/2010 e a base de dados de 2010 foi encerrada em 21/01/2011.
 Definição de caso utilizada durante as fases da pandemia:
	
		Fase de contenção: 19/04/2009 a 18/07/2009 (semana epidemiológica 16 a 28 de 2009);
     		Sindrome Gripal (SG) - Indivíduo com doença respiratória aguda caracterizada por febre, tosse e/ou dor de garganta;
     Fase de mitigação 2009: 19/07/2009 a 02/01/2010 (semana epidemiológica 29 a 52 de 2009);
     		Sindrome Respiratoria Aguda Grave (SRAG) - Indivíduo com doença respiratória aguda caracterizada por febre, tosse e dispnéia;
     Fase de mitigação 2010: A partir de 03/01/2010 (semana epidemiológica 01 de 2010);
     		Sindrome Respiratoria Aguda Grave com Hospitalização (SRAGHOSP) - Indivíduo com doença respiratória aguda caracterizada por febre,
           tosse e dispnéia e que requer hospitalização;
	
 Declaração de fase pós-pandêmica pela OMS: 10/08/2010.
 
