 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"352390 ITU";59;5;15;79
"352410 ITUVERAVA";1;-;1;2
"352430 JABOTICABAL";13;-;7;20
"352440 JACAREI";126;5;36;167
"352470 JAGUARIUNA";11;-;3;14
"352480 JALES";18;-;3;21
"352500 JANDIRA";4;2;-;6
"352510 JARDINOPOLIS";-;2;-;2
"352520 JARINU";2;-;-;2
"352530 JAU";30;1;8;39
"352590 JUNDIAI";199;6;31;236
"352640 LARANJAL PAULISTA";27;-;4;31
"352670 LEME";16;-;1;17
"352680 LENCOIS PAULISTA";56;-;6;62
"352690 LIMEIRA";96;9;28;133
"352710 LINS";21;-;-;21
"352720 LORENA";49;4;1;54
"352730 LOUVEIRA";27;1;3;31
"352740 LUCELIA";2;-;-;2
"352760 LUIS ANTONIO";1;-;-;1
"352800 MACATUBA";23;-;4;27
"352840 MAIRINQUE";2;2;-;4
"352850 MAIRIPORA";5;-;-;5
"352900 MARILIA";237;7;22;266
"352910 MARINOPOLIS";1;-;-;1
"352930 MATAO";14;1;5;20
"352940 MAUA";82;1;10;93
"352970 MIGUELOPOLIS";4;-;-;4
"353010 MIRANDOPOLIS";-;1;-;1
"353030 MIRASSOL";1;-;-;1
"353050 MOCOCA";30;-;5;35
"353060 MOGI DAS CRUZES";162;1;22;185
"353070 MOGI GUACU";60;1;16;77
"353080 MOGI MIRIM";47;-;3;50
"353130 MONTE ALTO";23;-;1;24
"353150 MONTE AZUL PAULISTA";7;-;-;7
"353180 MONTE MOR";6;-;-;6
"353190 MORRO AGUDO";31;-;-;31
"353200 MORUNGABA";48;-;-;48
"353240 NAZARE PAULISTA";4;-;-;4
"353250 NEVES PAULISTA";-;-;2;2
"353260 NHANDEARA";-;-;1;1
"353300 NOVA GRANADA";20;-;8;28
"353340 NOVA ODESSA";7;-;12;19
"353350 NOVO HORIZONTE";5;-;-;5
"353390 OLIMPIA";32;-;1;33
"353440 OSASCO";162;14;18;194
"353460 OSVALDO CRUZ";19;-;1;20
"353470 OURINHOS";32;-;5;37
"353490 PACAEMBU";2;-;-;2
"353530 PALMITAL";2;-;-;2
"353540 PANORAMA";25;-;1;26
"353550 PARAGUACU PAULISTA";16;-;3;19
"353560 PARAIBUNA";11;-;-;11
"353580 PARANAPANEMA";15;-;-;15
"353620 PARIQUERA-ACU";100;-;13;113
"353630 PATROCINIO PAULISTA";1;-;-;1
"353650 PAULINIA";30;2;5;37
"353670 PEDERNEIRAS";64;-;4;68
"353710 PEDREIRA";3;-;-;3
"353730 PENAPOLIS";17;-;2;19
"353740 PEREIRA BARRETO";8;1;-;9
"353780 PIEDADE";-;3;-;3
"353790 PILAR DO SUL";39;-;4;43
"353800 PINDAMONHANGABA";30;-;2;32
"353860 PIRACAIA";5;-;-;5
"353870 PIRACICABA";161;5;60;226
"353880 PIRAJU";2;-;-;2
"353900 PIRANGI";4;-;-;4
"353930 PIRASSUNUNGA";5;1;-;6
"353940 PIRATININGA";2;-;-;2
"353950 PITANGUEIRAS";12;-;4;16
"353980 POA";3;-;-;3
"354025 PONTALINDA";3;-;-;3
"354060 PORTO FELIZ";49;3;6;58
"354070 PORTO FERREIRA";6;-;-;6
"354100 PRAIA GRANDE";27;-;10;37
"354130 PRESIDENTE EPITACIO";27;-;-;27
"354140 PRESIDENTE PRUDENTE";157;2;14;173
"354150 PRESIDENTE VENCESLAU";6;-;-;6
"354160 PROMISSAO";6;-;3;9
"354260 REGISTRO";1;-;-;1
"354290 RIBEIRAO BONITO";4;-;-;4
"354300 RIBEIRAO BRANCO";1;-;-;1
"354330 RIBEIRAO PIRES";87;4;9;100
"354340 RIBEIRAO PRETO";315;38;41;394
"354370 RINCAO";1;-;-;1
"354390 RIO CLARO";65;4;13;82
"354400 RIO DAS PEDRAS";14;1;2;17
"354425 ROSANA";34;-;1;35
"354490 SALES OLIVEIRA";2;-;-;2
"354500 SALESOPOLIS";1;-;-;1
"354510 SALMOURAO";1;-;-;1
"354520 SALTO";36;2;9;47
"354530 SALTO DE PIRAPORA";12;2;-;14
"354540 SALTO GRANDE";1;-;-;1
"354580 SANTA BARBARA D'OESTE";34;1;7;42
"354630 SANTA CRUZ DAS PALMEIRAS";9;-;-;9
"354640 SANTA CRUZ DO RIO PARDO";1;-;-;1
"354660 SANTA FE DO SUL";7;-;7;14
"354700 SANTA MARIA DA SERRA";1;-;-;1
"354730 SANTANA DE PARNAIBA";4;-;-;4
"354750 SANTA RITA DO PASSA QUATRO";5;-;-;5
"354780 SANTO ANDRE";299;64;59;422
"354850 SANTOS";227;22;39;288
"354860 SAO BENTO DO SAPUCAI";2;-;-;2
"354870 SAO BERNARDO DO CAMPO";272;10;39;321
"354880 SAO CAETANO DO SUL";177;2;6;185
"354890 SAO CARLOS";7;4;5;16
"354910 SAO JOAO DA BOA VISTA";28;-;6;34
"354920 SAO JOAO DAS DUAS PONTES";1;-;-;1
"354940 SAO JOAQUIM DA BARRA";5;-;2;7
"354970 SAO JOSE DO RIO PARDO";30;-;1;31
"354980 SAO JOSE DO RIO PRETO";345;13;258;616
"354990 SAO JOSE DOS CAMPOS";116;5;16;137
"355010 SAO MANUEL";40;-;6;46
"355030 SAO PAULO";7295;2815;1687;11797
"355040 SAO PEDRO";2;-;-;2
"355060 SAO ROQUE";30;2;1;33
"355070 SAO SEBASTIAO";68;-;6;74
"355080 SAO SEBASTIAO DA GRAMA";6;-;1;7
"355090 SAO SIMAO";1;-;-;1
"355100 SAO VICENTE";6;-;-;6
"355150 SERRANA";21;-;-;21
"355160 SERRA NEGRA";15;-;1;16
"355170 SERTAOZINHO";55;1;3;59
"355210 SOCORRO";17;-;3;20
"355220 SOROCABA";387;39;75;501
"355230 SUD MENNUCCI";7;-;-;7
"355240 SUMARE";30;5;4;39
"355250 SUZANO";28;-;1;29
"355270 TABATINGA";3;-;-;3
"355280 TABOAO DA SERRA";36;-;-;36
"355300 TAGUAI";4;-;-;4
"355330 TAMBAU";14;-;2;16
"355360 TAPIRATIBA";3;-;-;3
"355370 TAQUARITINGA";4;-;1;5
"355380 TAQUARITUBA";11;-;1;12
"355400 TATUI";29;1;2;32
"355410 TAUBATE";110;36;-;146
"355450 TIETE";16;-;-;16
"355490 TRES FRONTEIRAS";1;-;-;1
"355500 TUPA";139;1;6;146
"355510 TUPI PAULISTA";1;-;-;1
"355540 UBATUBA";41;-;1;42
"355620 VALINHOS";87;8;15;110
"355640 VARGEM GRANDE DO SUL";34;-;1;35
"355645 VARGEM GRANDE PAULISTA";3;-;-;3
"355650 VARZEA PAULISTA";2;-;-;2
"355670 VINHEDO";26;5;6;37
"355690 VISTA ALEGRE DO ALTO";1;-;-;1
"355695 VITORIA BRASIL";1;-;-;1
"355700 VOTORANTIM";25;3;11;39
"355710 VOTUPORANGA";33;-;11;44
"410010 ABATIA";12;-;-;12
"410020 ADRIANOPOLIS";2;-;-;2
"410030 AGUDOS DO SUL";9;1;-;10
"410040 ALMIRANTE TAMANDARE";232;2;-;234
"410045 ALTAMIRA DO PARANA";4;3;-;7
"410050 ALTONIA";15;2;-;17
"410060 ALTO PARANA";30;1;-;31
"410070 ALTO PIQUIRI";1;-;-;1
"410080 ALVORADA DO SUL";45;-;3;48
"410090 AMAPORA";5;-;2;7
"410100 AMPERE";14;-;-;14
"410105 ANAHY";1;1;-;2
"410110 ANDIRA";49;2;-;51
"410115 ANGULO";37;-;-;37
"410120 ANTONINA";26;4;-;30
"410140 APUCARANA";648;10;19;677
"410150 ARAPONGAS";765;9;10;784
"410160 ARAPOTI";37;7;-;44
"410165 ARAPUA";5;-;-;5
"410170 ARARUNA";24;1;-;25
"410180 ARAUCARIA";306;18;11;335
"410185 ARIRANHA DO IVAI";4;-;-;4
"410190 ASSAI";88;5;-;93
"410200 ASSIS CHATEAUBRIAND";136;1;-;137
"410210 ASTORGA";83;2;8;93
"410220 ATALAIA";4;-;-;4
"410230 BALSA NOVA";4;-;-;4
"410240 BANDEIRANTES";350;3;6;359
"410250 BARBOSA FERRAZ";14;1;-;15
"410260 BARRACAO";39;2;-;41
"410270 BARRA DO JACARE";1;-;-;1
"410275 BELA VISTA DA CAROBA";3;-;-;3
"410280 BELA VISTA DO PARAISO";125;2;1;128
"410290 BITURUNA";26;1;-;27
"410300 BOA ESPERANCA";29;1;-;30
"410304 BOA VENTURA DE SAO ROQUE";1;-;-;1
"410305 BOA VISTA DA APARECIDA";49;1;2;52
"410310 BOCAIUVA DO SUL";4;-;-;4
"410315 BOM JESUS DO SUL";4;1;-;5
"410320 BOM SUCESSO";37;1;-;38
"410330 BORRAZOPOLIS";-;-;1;1
"410335 BRAGANEY";5;-;-;5
"410337 BRASILANDIA DO SUL";3;-;-;3
"410340 CAFEARA";28;-;-;28
"410345 CAFELANDIA";182;6;-;188
"410350 CALIFORNIA";31;-;-;31
"410360 CAMBARA";11;1;-;12
"410370 CAMBE";1174;7;20;1201
"410380 CAMBIRA";18;1;-;19
"410390 CAMPINA DA LAGOA";50;5;-;55
"410400 CAMPINA GRANDE DO SUL";81;6;-;87
"410405 CAMPO BONITO";4;-;-;4
"410410 CAMPO DO TENENTE";2;-;-;2
"410420 CAMPO LARGO";161;10;25;196
"410425 CAMPO MAGRO";4;-;-;4
"410430 CAMPO MOURAO";171;4;16;191
"410440 CANDIDO DE ABREU";35;-;-;35
"410442 CANDOI";15;-;-;15
"410445 CANTAGALO";22;-;-;22
"410450 CAPANEMA";92;8;5;105
"410460 CAPITAO LEONIDAS MARQUES";18;1;-;19
"410465 CARAMBEI";21;-;-;21
"410470 CARLOPOLIS";23;-;-;23
"410480 CASCAVEL";1700;210;85;1995
"410490 CASTRO";106;6;-;112
"410500 CATANDUVAS";17;3;-;20
"410510 CENTENARIO DO SUL";57;1;-;58
"410520 CERRO AZUL";6;-;-;6
"410530 CEU AZUL";9;-;-;9
"410540 CHOPINZINHO";58;1;-;59
"410550 CIANORTE";720;32;1;753
"410560 CIDADE GAUCHA";41;5;1;47
"410570 CLEVELANDIA";81;5;2;88
"410580 COLOMBO";202;7;-;209
"410590 COLORADO";212;3;-;215
"410600 CONGONHINHAS";12;-;-;12
"410610 CONSELHEIRO MAIRINCK";11;-;-;11
"410620 CONTENDA";5;1;-;6
"410630 CORBELIA";172;8;-;180
"410640 CORNELIO PROCOPIO";292;16;7;315
"410645 CORONEL DOMINGOS SOARES";4;2;-;6
"410650 CORONEL VIVIDA";11;4;1;16
"410655 CORUMBATAI DO SUL";9;1;-;10
"410657 CRUZEIRO DO IGUACU";9;1;-;10
"410660 CRUZEIRO DO OESTE";19;1;-;20
"410670 CRUZEIRO DO SUL";56;-;-;56
"410680 CRUZ MACHADO";60;-;-;60
"410685 CRUZMALTINA";9;-;-;9
"410690 CURITIBA";5948;709;301;6958
"410700 CURIUVA";11;1;-;12
"410710 DIAMANTE DO NORTE";6;-;-;6
"410715 DIAMANTE D'OESTE";14;-;-;14
"410720 DOIS VIZINHOS";68;-;3;71
"410725 DOURADINA";6;-;-;6
"410730 DOUTOR CAMARGO";6;-;-;6
"410740 ENEAS MARQUES";23;-;-;23
"410750 ENGENHEIRO BELTRAO";75;1;-;76
"410752 ESPERANCA NOVA";1;-;-;1
"410753 ENTRE RIOS DO OESTE";40;-;-;40
"410754 ESPIGAO ALTO DO IGUACU";9;-;-;9
"410755 FAROL";4;-;-;4
"410760 FAXINAL";112;-;2;114
"410765 FAZENDA RIO GRANDE";87;5;4;96
"410770 FENIX";4;-;-;4
"410773 FERNANDES PINHEIRO";12;-;-;12
"410775 FIGUEIRA";11;1;-;12
"410780 FLORAI";34;-;-;34
"410785 FLOR DA SERRA DO SUL";3;-;-;3
"410790 FLORESTA";24;-;1;25
"410800 FLORESTOPOLIS";34;1;-;35
"410810 FLORIDA";69;1;-;70
"410820 FORMOSA DO OESTE";28;1;-;29
"410830 FOZ DO IGUACU";619;127;77;823
"410832 FRANCISCO ALVES";1;-;-;1
"410840 FRANCISCO BELTRAO";393;10;23;426
"410850 GENERAL CARNEIRO";14;1;-;15
"410855 GODOY MOREIRA";62;-;-;62
"410860 GOIOERE";87;6;-;93
"410870 GRANDES RIOS";11;-;1;12
"410880 GUAIRA";87;29;-;116
"410890 GUAIRACA";2;-;-;2
"410895 GUAMIRANGA";11;1;-;12
"410900 GUAPIRAMA";15;1;-;16
"410910 GUAPOREMA";11;-;-;11
"410920 GUARACI";24;1;-;25
"410930 GUARANIACU";94;4;-;98
"410940 GUARAPUAVA";325;17;21;363
"410960 GUARATUBA";76;10;-;86
"410965 HONORIO SERPA";20;-;-;20
"410970 IBAITI";142;1;-;143
"410975 IBEMA";2;-;-;2
"410980 IBIPORA";483;7;44;534
"410990 ICARAIMA";10;-;-;10
"411000 IGUARACU";54;-;-;54
"411005 IGUATU";2;-;-;2
"411007 IMBAU";7;-;-;7
"411010 IMBITUVA";75;9;4;88
"411020 INACIO MARTINS";8;1;-;9
"411030 INAJA";1;-;-;1
"411040 INDIANOPOLIS";7;-;-;7
"411050 IPIRANGA";36;4;-;40
"411060 IPORA";21;1;-;22
"411065 IRACEMA DO OESTE";13;2;-;15
"411070 IRATI";158;12;13;183
"411080 IRETAMA";3;6;-;9
"411090 ITAGUAJE";7;-;-;7
"411095 ITAIPULANDIA";229;2;1;232
"411100 ITAMBARACA";42;-;-;42
"411110 ITAMBE";15;-;1;16
"411120 ITAPEJARA D'OESTE";8;-;3;11
"411125 ITAPERUCU";5;-;-;5
"411140 IVAI";1;1;-;2
"411150 IVAIPORA";106;6;4;116
"411155 IVATE";2;1;-;3
"411160 IVATUBA";4;-;-;4
"411170 JABOTI";43;-;-;43
"411180 JACAREZINHO";104;7;6;117
"411190 JAGUAPITA";129;3;4;136
"411200 JAGUARIAIVA";55;4;1;60
"411210 JANDAIA DO SUL";113;3;7;123
"411220 JANIOPOLIS";1;2;-;3
"411230 JAPIRA";4;-;-;4
"411240 JAPURA";56;2;-;58
"411250 JARDIM ALEGRE";26;-;1;27
"411260 JARDIM OLINDA";2;-;-;2
"411270 JATAIZINHO";129;7;52;188
"411275 JESUITAS";53;1;-;54
"411280 JOAQUIM TAVORA";8;-;-;8
"411290 JUNDIAI DO SUL";1;-;-;1
"411295 JURANDA";8;-;-;8
"411300 JUSSARA";100;-;1;101
"411310 KALORE";15;-;6;21
"411320 LAPA";13;-;-;13
"411330 LARANJEIRAS DO SUL";100;8;2;110
"411340 LEOPOLIS";27;6;-;33
"411342 LIDIANOPOLIS";10;-;-;10
"411345 LINDOESTE";3;1;-;4
"411350 LOANDA";31;2;4;37
"411360 LOBATO";61;1;-;62
"411370 LONDRINA";4888;80;211;5179
"411373 LUIZIANA";15;-;-;15
"411375 LUNARDELLI";14;-;-;14
"411380 LUPIONOPOLIS";36;-;-;36
"411390 MALLET";13;2;-;15
"411400 MAMBORE";8;1;-;9
"411410 MANDAGUACU";45;2;2;49
"411420 MANDAGUARI";186;3;5;194
"411430 MANDIRITUBA";18;-;-;18
"411435 MANFRINOPOLIS";3;-;-;3
"411440 MANGUEIRINHA";110;2;3;115
"411450 MANOEL RIBAS";57;-;-;57
"411460 MARECHAL CANDIDO RONDON";300;15;1;316
"411470 MARIA HELENA";5;2;-;7
"411480 MARIALVA";108;-;6;114
"411490 MARILANDIA DO SUL";9;-;-;9
"411500 MARILENA";29;-;-;29
"411510 MARILUZ";3;-;-;3
"411520 MARINGA";2149;72;205;2426
"411530 MARIOPOLIS";39;-;-;39
"411535 MARIPA";22;-;-;22
"411540 MARMELEIRO";52;2;1;55
"411545 MARQUINHO";1;-;-;1
"411550 MARUMBI";9;-;-;9
"411560 MATELANDIA";12;2;1;15
"411570 MATINHOS";75;4;-;79
"411573 MATO RICO";2;-;-;2
"411575 MAUA DA SERRA";10;-;-;10
"411580 MEDIANEIRA";77;10;15;102
"411585 MERCEDES";22;-;-;22
"411590 MIRADOR";2;-;-;2
"411600 MIRASELVA";24;-;-;24
"411605 MISSAL";12;-;1;13
"411610 MOREIRA SALES";88;7;-;95
"411620 MORRETES";47;2;-;49
"411630 MUNHOZ DE MELO";1;3;-;4
"411640 NOSSA SENHORA DAS GRACAS";34;-;1;35
"411660 NOVA AMERICA DA COLINA";13;1;-;14
"411670 NOVA AURORA";47;1;-;48
"411680 NOVA CANTU";14;2;-;16
"411690 NOVA ESPERANCA";158;5;2;165
"411695 NOVA ESPERANCA DO SUDOESTE";58;-;-;58
"411700 NOVA FATIMA";65;-;8;73
"411705 NOVA LARANJEIRAS";27;1;-;28
"411710 NOVA LONDRINA";49;4;-;53
"411720 NOVA OLIMPIA";11;2;-;13
"411721 NOVA SANTA BARBARA";42;14;-;56
"411722 NOVA SANTA ROSA";19;-;-;19
"411725 NOVA PRATA DO IGUACU";83;-;-;83
"411729 NOVO ITACOLOMI";17;-;-;17
"411730 ORTIGUEIRA";47;-;-;47
"411740 OURIZONA";15;-;-;15
"411745 OURO VERDE DO OESTE";9;2;-;11
"411750 PAICANDU";109;1;1;111
"411760 PALMAS";309;3;6;318
"411770 PALMEIRA";36;1;1;38
"411780 PALMITAL";7;1;-;8
"411790 PALOTINA";310;4;-;314
"411800 PARAISO DO NORTE";34;-;-;34
"411810 PARANACITY";61;-;3;64
"411820 PARANAGUA";307;18;13;338
"411830 PARANAPOEMA";2;-;-;2
"411840 PARANAVAI";261;31;11;303
"411845 PATO BRAGADO";27;1;-;28
"411850 PATO BRANCO";635;19;22;676
"411860 PAULA FREITAS";7;1;-;8
"411870 PAULO FRONTIN";2;-;-;2
"411880 PEABIRU";19;1;-;20
"411885 PEROBAL";13;-;-;13
"411890 PEROLA";3;1;-;4
"411900 PEROLA D'OESTE";3;-;-;3
"411910 PIEN";1;-;-;1
"411915 PINHAIS";192;20;-;212
"411920 PINHALAO";9;2;-;11
"411925 PINHAL DE SAO BENTO";11;-;-;11
"411930 PINHAO";15;-;-;15
"411940 PIRAI DO SUL";7;-;-;7
"411950 PIRAQUARA";62;7;1;70
"411960 PITANGA";25;-;-;25
"411965 PITANGUEIRAS";15;-;-;15
"411970 PLANALTINA DO PARANA";8;-;-;8
"411980 PLANALTO";16;-;-;16
"411990 PONTA GROSSA";1068;43;51;1162
"411995 PONTAL DO PARANA";33;4;-;37
"412000 PORECATU";40;2;5;47
"412010 PORTO AMAZONAS";7;1;-;8
"412020 PORTO RICO";4;-;-;4
"412030 PORTO VITORIA";1;-;-;1
"412033 PRADO FERREIRA";31;-;1;32
"412035 PRANCHITA";23;4;5;32
"412040 PRESIDENTE CASTELO BRANCO";4;1;-;5
"412050 PRIMEIRO DE MAIO";50;1;-;51
"412060 PRUDENTOPOLIS";154;2;1;157
"412065 QUARTO CENTENARIO";21;-;-;21
"412070 QUATIGUA";13;2;-;15
"412080 QUATRO BARRAS";23;1;-;24
"412085 QUATRO PONTES";4;1;-;5
"412090 QUEDAS DO IGUACU";44;3;5;52
"412100 QUERENCIA DO NORTE";4;1;-;5
"412110 QUINTA DO SOL";1;-;-;1
"412120 QUITANDINHA";34;2;-;36
"412130 RANCHO ALEGRE";52;5;-;57
"412135 RANCHO ALEGRE D'OESTE";3;-;-;3
"412140 REALEZA";241;4;1;246
"412150 REBOUCAS";54;2;3;59
"412160 RENASCENCA";20;1;-;21
"412170 RESERVA";17;2;-;19
"412175 RESERVA DO IGUACU";-;1;-;1
"412180 RIBEIRAO CLARO";13;-;-;13
"412190 RIBEIRAO DO PINHAL";39;2;-;41
"412200 RIO AZUL";25;1;2;28
"412210 RIO BOM";4;-;-;4
"412215 RIO BONITO DO IGUACU";24;-;-;24
"412217 RIO BRANCO DO IVAI";14;-;-;14
"412220 RIO BRANCO DO SUL";16;1;-;17
"412230 RIO NEGRO";13;1;-;14
"412240 ROLANDIA";525;5;-;530
"412250 RONCADOR";6;-;-;6
"412260 RONDON";10;-;-;10
"412265 ROSARIO DO IVAI";11;-;-;11
"412270 SABAUDIA";26;-;-;26
"412280 SALGADO FILHO";6;-;1;7
"412290 SALTO DO ITARARE";6;-;-;6
"412300 SALTO DO LONTRA";107;3;-;110
"412310 SANTA AMELIA";62;2;-;64
"412320 SANTA CECILIA DO PAVAO";15;-;1;16
"412330 SANTA CRUZ DE MONTE CASTELO";1;-;-;1
"412340 SANTA FE";89;-;1;90
"412350 SANTA HELENA";169;5;2;176
"412360 SANTA INES";1;-;-;1
"412370 SANTA ISABEL DO IVAI";26;-;-;26
"412380 SANTA IZABEL DO OESTE";75;2;1;78
"412382 SANTA LUCIA";1;-;-;1
"412385 SANTA MARIA DO OESTE";14;-;-;14
"412390 SANTA MARIANA";89;2;-;91
"412395 SANTA MONICA";1;-;-;1
"412400 SANTANA DO ITARARE";36;-;-;36
"412402 SANTA TEREZA DO OESTE";24;6;-;30
"412405 SANTA TEREZINHA DE ITAIPU";29;8;-;37
"412410 SANTO ANTONIO DA PLATINA";337;1;4;342
"412420 SANTO ANTONIO DO CAIUA";1;-;-;1
"412430 SANTO ANTONIO DO PARAISO";9;-;-;9
"412440 SANTO ANTONIO DO SUDOESTE";79;4;-;83
"412450 SANTO INACIO";10;-;-;10
"412460 SAO CARLOS DO IVAI";11;-;-;11
"412470 SAO JERONIMO DA SERRA";43;1;-;44
"412480 SAO JOAO";11;-;-;11
"412490 SAO JOAO DO CAIUA";1;-;-;1
"412500 SAO JOAO DO IVAI";11;-;-;11
"412510 SAO JOAO DO TRIUNFO";2;1;-;3
"412520 SAO JORGE D'OESTE";7;-;-;7
"412530 SAO JORGE DO IVAI";4;-;-;4
"412535 SAO JORGE DO PATROCINIO";1;-;-;1
"412540 SAO JOSE DA BOA VISTA";6;2;-;8
"412545 SAO JOSE DAS PALMEIRAS";2;-;-;2
"412550 SAO JOSE DOS PINHAIS";887;49;42;978
"412555 SAO MANOEL DO PARANA";2;-;-;2
"412560 SAO MATEUS DO SUL";79;2;-;81
"412570 SAO MIGUEL DO IGUACU";35;2;2;39
"412575 SAO PEDRO DO IGUACU";36;2;-;38
"412580 SAO PEDRO DO IVAI";10;-;1;11
"412590 SAO PEDRO DO PARANA";1;-;-;1
"412600 SAO SEBASTIAO DA AMOREIRA";89;1;17;107
"412610 SAO TOME";8;2;-;10
"412620 SAPOPEMA";7;-;-;7
"412625 SARANDI";181;4;10;195
"412627 SAUDADE DO IGUACU";7;-;-;7
"412630 SENGES";23;1;-;24
"412635 SERRANOPOLIS DO IGUACU";9;-;1;10
"412640 SERTANEJA";21;10;-;31
"412650 SERTANOPOLIS";191;2;8;201
"412660 SIQUEIRA CAMPOS";25;3;-;28
"412665 SULINA";2;-;-;2
"412667 TAMARANA";20;-;-;20
"412670 TAMBOARA";27;-;4;31
"412680 TAPEJARA";19;4;-;23
"412700 TEIXEIRA SOARES";2;2;-;4
"412710 TELEMACO BORBA";183;6;1;190
"412720 TERRA BOA";30;1;-;31
"412730 TERRA RICA";8;3;-;11
"412740 TERRA ROXA";59;7;-;66
"412750 TIBAGI";12;-;-;12
"412760 TIJUCAS DO SUL";20;-;-;20
"412770 TOLEDO";454;19;17;490
"412780 TOMAZINA";16;-;-;16
"412785 TRES BARRAS DO PARANA";25;-;-;25
"412788 TUNAS DO PARANA";7;-;-;7
"412790 TUNEIRAS DO OESTE";7;1;-;8
"412795 TUPASSI";3;1;-;4
"412796 TURVO";51;1;-;52
"412800 UBIRATA";117;2;7;126
"412810 UMUARAMA";430;13;48;491
"412820 UNIAO DA VITORIA";153;13;1;167
"412830 UNIFLOR";3;-;-;3
"412840 URAI";76;15;2;93
"412850 WENCESLAU BRAZ";13;1;-;14
"412853 VENTANIA";4;-;-;4
"412855 VERA CRUZ DO OESTE";28;9;-;37
"412860 VERE";5;-;-;5
"412862 ALTO PARAISO";1;-;-;1
"412865 VIRMOND";1;-;-;1
"412870 VITORINO";11;-;-;11
"420010 ABELARDO LUZ";7;1;-;8
"420060 AGUAS MORNAS";1;-;-;1
"420075 ALTO BELA VISTA";1;-;-;1
"420080 ANCHIETA";2;-;-;2
"420100 ANITA GARIBALDI";9;1;-;10
"420125 APIUNA";-;5;-;5
"420127 ARABUTA";11;-;-;11
"420140 ARARANGUA";53;1;6;60
"420150 ARMAZEM";5;-;-;5
"420200 BALNEARIO CAMBORIU";48;7;41;96
"420215 BELMONTE";1;-;-;1
"420220 BENEDITO NOVO";3;-;-;3
"420230 BIGUACU";1;1;-;2
"420240 BLUMENAU";160;30;21;211
"420243 BOCAINA DO SUL";1;-;-;1
"420245 BOMBINHAS";2;-;-;2
"420260 BOM RETIRO";3;-;-;3
"420280 BRACO DO NORTE";57;1;3;61
"420287 BRUNOPOLIS";2;-;-;2
"420290 BRUSQUE";60;5;-;65
"420300 CACADOR";64;-;-;64
"420310 CAIBI";9;-;-;9
"420320 CAMBORIU";6;1;2;9
"420330 CAMPO ALEGRE";2;-;-;2
"420350 CAMPO ERE";34;-;1;35
"420360 CAMPOS NOVOS";20;-;1;21
"420380 CANOINHAS";73;4;11;88
"420390 CAPINZAL";14;-;-;14
"420395 CAPIVARI DE BAIXO";40;3;-;43
"420410 CAXAMBU DO SUL";12;-;-;12
"420419 CHAPADAO DO LAGEADO";1;-;-;1
"420420 CHAPECO";108;9;25;142
"420425 COCAL DO SUL";4;-;-;4
"420430 CONCORDIA";117;19;11;147
"420450 CORUPA";1;-;-;1
"420460 CRICIUMA";221;15;55;291
"420470 CUNHA PORA";2;1;1;4
"420480 CURITIBANOS";24;3;1;28
"420490 DESCANSO";1;-;2;3
"420500 DIONISIO CERQUEIRA";-;4;-;4
"420515 DOUTOR PEDRINHO";2;-;-;2
"420520 ERVAL VELHO";2;-;-;2
"420530 FAXINAL DOS GUEDES";17;-;-;17
"420540 FLORIANOPOLIS";426;140;57;623
"420545 FORQUILHINHA";10;2;-;12
"420550 FRAIBURGO";39;-;9;48
"420560 GALVAO";1;-;-;1
"420570 GAROPABA";12;1;-;13
"420590 GASPAR";19;-;1;20
"420600 GOVERNADOR CELSO RAMOS";1;1;-;2
"420620 GRAVATAL";3;-;-;3
"420640 GUARACIABA";2;-;-;2
"420650 GUARAMIRIM";48;6;4;58
"420660 GUARUJA DO SUL";1;-;-;1
"420670 HERVAL D'OESTE";2;1;-;3
"420680 IBICARE";2;-;-;2
"420690 IBIRAMA";34;1;5;40
"420700 ICARA";34;2;4;40
"420720 IMARUI";11;-;-;11
"420730 IMBITUBA";36;1;4;41
"420750 INDAIAL";54;3;3;60
"420760 IPIRA";1;-;-;1
"420765 IPORA DO OESTE";6;-;1;7
"420770 IPUMIRIM";15;-;-;15
"420775 IRACEMINHA";1;-;-;1
"420780 IRANI";1;-;-;1
"420790 IRINEOPOLIS";4;-;-;4
"420800 ITA";11;1;-;12
"420810 ITAIOPOLIS";4;-;1;5
"420820 ITAJAI";170;42;106;318
"420830 ITAPEMA";9;-;-;9
"420840 ITAPIRANGA";9;-;-;9
"420850 ITUPORANGA";6;-;2;8
"420870 JACINTO MACHADO";3;-;-;3
"420880 JAGUARUNA";62;2;7;71
"420890 JARAGUA DO SUL";207;10;17;234
"420900 JOACABA";63;5;1;69
"420910 JOINVILLE";350;33;32;415
"420915 JOSE BOITEUX";1;-;-;1
"420930 LAGES";78;9;-;87
"420940 LAGUNA";45;1;17;63
"420950 LAURENTINO";1;-;-;1
"420960 LAURO MULLER";8;-;-;8
"420985 LINDOIA DO SUL";19;-;3;22
"420990 LONTRAS";1;1;-;2
"421000 LUIZ ALVES";1;-;-;1
"421003 LUZERNA";3;1;-;4
"421010 MAFRA";20;1;8;29
"421050 MARAVILHA";6;1;1;8
"421055 MAREMA";1;-;-;1
"421060 MASSARANDUBA";6;-;-;6
"421080 MELEIRO";3;-;-;3
"421090 MODELO";3;-;-;3
"421100 MONDAI";1;-;-;1
