 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"310200 ALTEROSA";2;-;-;2
"310230 ALVINOPOLIS";12;-;-;12
"310260 ANDRADAS";3;-;-;3
"310280 ANDRELANDIA";5;-;-;5
"310290 ANTONIO CARLOS";1;-;-;1
"310340 ARACUAI";1;-;-;1
"310350 ARAGUARI";15;-;3;18
"310375 ARAPORA";3;-;-;3
"310400 ARAXA";13;2;5;20
"310430 AREADO";2;-;1;3
"310440 ARGIRITA";1;-;-;1
"310450 ARINOS";1;-;-;1
"310460 ASTOLFO DUTRA";1;-;-;1
"310490 BAEPENDI";5;-;2;7
"310540 BARAO DE COCAIS";14;-;-;14
"310560 BARBACENA";36;6;1;43
"310590 BARROSO";3;-;-;3
"310620 BELO HORIZONTE";1950;496;289;2735
"310670 BETIM";240;6;9;255
"310690 BICAS";6;-;-;6
"310710 BOA ESPERANCA";66;-;-;66
"310730 BOCAIUVA";-;1;-;1
"310740 BOM DESPACHO";8;-;1;9
"310750 BOM JARDIM DE MINAS";2;-;-;2
"310800 BOM SUCESSO";2;-;-;2
"310830 BORDA DA MATA";1;-;-;1
"310840 BOTELHOS";3;-;1;4
"310860 BRASILIA DE MINAS";-;-;1;1
"310870 BRAS PIRES";1;-;-;1
"310900 BRUMADINHO";-;2;-;2
"310910 BUENO BRANDAO";1;-;-;1
"310950 CABO VERDE";-;-;1;1
"310990 CAETANOPOLIS";2;-;-;2
"311000 CAETE";1;-;-;1
"311030 CALDAS";3;-;-;3
"311050 CAMANDUCAIA";1;-;-;1
"311060 CAMBUI";8;1;-;9
"311100 CAMPESTRE";4;-;-;4
"311120 CAMPO BELO";10;-;-;10
"311130 CAMPO DO MEIO";1;-;-;1
"311140 CAMPO FLORIDO";1;-;-;1
"311150 CAMPOS ALTOS";4;-;-;4
"311180 CANAPOLIS";1;-;-;1
"311260 CAPINOPOLIS";1;-;-;1
"311265 CAPITAO ANDRADE";-;1;-;1
"311280 CAPITOLIO";1;-;-;1
"311300 CARAI";1;-;-;1
"311320 CARANDAI";6;-;-;6
"311330 CARANGOLA";11;-;-;11
"311340 CARATINGA";8;1;-;9
"311370 CARLOS CHAGAS";2;-;-;2
"311430 CARMO DO PARANAIBA";6;-;-;6
"311440 CARMO DO RIO CLARO";1;-;-;1
"311530 CATAGUASES";21;-;2;23
"311660 CLAUDIO";2;-;-;2
"311710 CONCEICAO DA APARECIDA";5;-;1;6
"311730 CONCEICAO DAS ALAGOAS";2;-;-;2
"311770 CONCEICAO DO RIO VERDE";3;-;-;3
"311780 CONCEICAO DOS OUROS";1;-;-;1
"311800 CONGONHAS";21;1;-;22
"311830 CONSELHEIRO LAFAIETE";34;2;-;36
"311840 CONSELHEIRO PENA";-;2;-;2
"311860 CONTAGEM";423;20;18;461
"311930 COROMANDEL";2;-;-;2
"311940 CORONEL FABRICIANO";5;2;-;7
"312040 CRISTIANO OTONI";1;-;-;1
"312050 CRISTINA";7;-;-;7
"312080 CRUZILIA";26;2;4;32
"312090 CURVELO";13;-;2;15
"312120 DELFINOPOLIS";1;-;-;1
"312140 DESTERRO DE ENTRE RIOS";1;-;-;1
"312160 DIAMANTINA";3;1;-;4
"312190 DIVINESIA";1;-;-;1
"312230 DIVINOPOLIS";18;2;6;26
"312270 DOM SILVERIO";1;-;-;1
"312340 DORESOPOLIS";1;-;-;1
"312360 ELOI MENDES";12;-;1;13
"312390 ENTRE RIOS DE MINAS";22;-;-;22
"312400 ERVALIA";1;-;-;1
"312410 ESMERALDAS";5;-;-;5
"312420 ESPERA FELIZ";2;-;-;2
"312430 ESPINOSA";3;-;-;3
"312490 EUGENOPOLIS";2;-;-;2
"312510 EXTREMA";12;7;-;19
"312595 FERVEDOURO";2;-;-;2
"312610 FORMIGA";8;-;-;8
"312700 FRONTEIRA";1;-;-;1
"312710 FRUTAL";4;-;1;5
"312760 GOUVEIA";-;1;-;1
"312770 GOVERNADOR VALADARES";21;12;1;34
"312800 GUANHAES";16;2;-;18
"312810 GUAPE";1;-;-;1
"312830 GUARANESIA";1;-;-;1
"312840 GUARANI";1;-;-;1
