"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
CIC;Curitiba;PR;;;;;;;;;;;;;0.340054;0.177714;;;;;;;;;;;;;;;;;;;;;19.308;11.4807;6.476;5.17438;;;;;10.497;6.06277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COBRE;Dias d'Ávila;BA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.60562;11.0845;;;;;;;;;;;;;;
CONCÓRDIA;Dias d'Ávila;BA;;;;;;;;;;;;;;;;;173.743;78.3689;0.636348;5.66324;;;;;;;;;;;;;;;25.2512;26.9317;;;;;8.37809;24.9638;6.60404;13.843;14.4225;26.4545;;;;;;;;;;;;;1.55575;11.7419;;;;;;;;;;;1.57585;1.00507;;
CSN;Araucária;PR;;;;;;;;;;;;;1.00537;0.626412;;;;;;;;;;;;;;;;;;;;;10.0155;9.96447;;;;;;;13.6016;12.7606;;;14.221;13.5901;;;;;0.000832178;0.00908434;;;;;6.52036;20.2831;;;;;;;;;;;;;;
Campinas-Centro;Campinas;SP;;;;;;;;;;;;;2.64444;0.478681;;;;;;;;;;;;;;;;;;;;;19.2882;6.21613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas-Taquaral;Campinas;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.7359;9.32145;;;;;;;;;;;23.4176;10.7088;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas-V.União;Campinas;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.7315;12.062;;;;;;;;;21.1344;7.48279;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Grande;Rio de Janeiro;RJ;;;;;;;;;;;;;;;;;142.325;75.664;;;;;;;;;;;;;;;;;32.9039;20.3537;;;;;8.48248;12.5871;27.7197;15.1285;36.2498;24.0992;34.8839;27.2526;;;1.35273;0.104294;;;;;133.993;210.948;9.257;4.88171;;;26.7647;3.51197;;;;;77.5727;22.6686;0.42048;0.252501;;
Capão Redondo;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.3171;12.6717;;;;;;;;;;;23.6606;14.6209;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuíba;Carapicuíba;SP;;;;;;;;;;;;;4.06977;1.30999;;;;;;;;;;;;;;;;;;;;;25.2695;13.2724;;;;;;;;;;;18.559;8.41052;;;;;;;;;;;;;;;;;;;;;;;;;;
Cariru;Ipatinga;MG;;;;;;;;;;;;;0.238347;0.268268;;;;;;;;;;;;;;;;;;;;;27.81;85.1033;13.1897;65.5641;;;;;;;;;;;;;;;33.7905;15.9659;;;;;;;;;;;;;;;;;;;;
Cascata;Ibirité;MG;;;;;;;;;;;;;0.767746;0.31442;;;;;;;;;;;;;;;;;;;;;17.7195;14.6934;18.4626;44.3744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva;Catanduva;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.8995;14.9407;;;;;;;;;;;20.5467;8.10374;;;;;;;;;;;;;;;;;;;;;;;;;;
Cecília Meireles;Timóteo;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136.119;297.539;25.9587;90.4199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro Administrativo Betim;Betim;MG;;;;;;;;;;;;;0.388255;0.395763;;;;;;;;;;;;;;;;;;;;;30.4871;26.2603;22.6925;96.8754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro Av. do Contorno;Belo Horizonte;MG;;;;;;;;;;;;;0.385853;0.220339;;;;;;;;;;;;;;;;;;;;;19.9215;26.0953;91.4232;261.105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro;Rio de Janeiro;RJ;;;;;;;143.956;168.502;;;;;0.423944;0.281023;;;161.89;73.8963;;;;;;;;;;;;;;;;;41.9238;20.5404;;;;;;;;;;;33.3096;22.9271;;;1.35205;0.00591304;;;;;134.025;227.677;;;;;25.8542;4.34711;;;;;61.5755;22.7822;0.203413;0.1148;;
Centro;São José da Lapa;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111.285;214.327;67.4083;211.544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerqueira César;São Paulo;SP;;;;;;;;;;;;;2;1.12815;;;;;;;;;;;;;;;;;;;;;19.6692;10.5528;;;;;;;9.41743;3.97758;;;;;;;;;;;;;;;9.15152;5.37176;;;;;;;;;;;;;;
Cid.Universitária-USP-Ipen;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.8427;13.966;;;;;;;;;25.4702;15.4828;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Nobre;Ipatinga;MG;;;;;;;;;;;;;0.26439;0.287684;;;;;;;;;;;;;;;;;;;;;21.5559;12.8223;11.3312;28.9089;;;;;;;;;;;;;;;32.4774;16.7192;;;;;;;;;;;;;;;;;;;;
Clube do União;Paracatu;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.9418;145.431;;;;;;;;;;;;;;;;;;;;
