COD_MUNIC;NOTIFICACOES
261140;1
261160;18585
261170;1
261180;4
261190;4
261220;13
261230;4
261240;1
261250;11
261260;2
261280;1
261300;2
261320;2
261330;2
261360;2
261370;53
261390;24
261400;2
261410;1
261420;2
261450;1
261460;2
261470;1
261485;3
261510;1
261540;1
261550;2
261600;1
261610;1
261618;1
261620;2
261640;48
270030;9
270040;1
270070;2
270090;1
270110;1
270170;2
270210;1
270230;3
270235;1
270240;5
270250;1
270260;2
270280;1
270290;3
270340;1
270380;2
270430;1988
270440;1
270450;1
270470;7
270480;1
270500;1
270644;1
270680;1
270710;2
270750;1
270770;2
270800;10
270820;1
270840;2
270860;2
270880;2
270915;2
270930;3
270940;3
280010;1
280030;766
280040;2
280067;3
280070;1
280150;1
280170;2
280210;9
280290;15
280300;1
280320;2
280350;6
280360;1
280440;2
280460;1
280480;6
280510;1
280550;1
280570;2
280580;1
280590;2
280630;1
280670;1
280680;1
280710;2
280730;1
280740;2
280760;2
290020;2
290030;3
290035;1
290040;2
290070;45
290090;1
290100;7
290110;5
290115;3
290120;1
290130;2
290140;2
290150;1
290160;1
290170;1
290190;2
290205;2
290210;8
290230;3
290250;2
290260;1
290265;3
290270;14
290280;6
290290;2
290300;7
290310;2
290320;204
290323;1
290327;1
290340;3
290360;1
290390;11
290395;3
290400;2
290405;2
290410;2
290430;2
290440;1
290460;4
290485;6
290490;4
290510;2
290520;19
290530;5
290540;1
290550;1
290560;1
290570;53
290590;1
290600;10
290610;1
290620;5
290630;1
290650;45
290660;2
290670;4
290680;1
290682;3
290687;5
290700;2
290720;3
290730;9
290750;36
290760;2
290780;6
290790;3
290800;2
290810;1
290830;1
290850;3
290860;12
290870;1
290880;1
290890;4
290900;2
290910;1
290930;6
290940;1
290970;4
290980;9
291000;1
291005;7
291010;2
291030;1
291040;2
291050;13
291060;4
291070;4
291072;36
291075;3
291080;441
291085;2
291110;5
291120;1
291140;2
291160;1
291170;49
291180;4
291185;1
291190;3
291210;1
291220;2
291230;1
291240;2
291250;1
291270;5
291300;1
291310;10
291320;1
291350;3
291360;147
291370;5
291380;3
291390;5
291400;8
291410;1
291440;4
291450;12
291460;338
291465;3
291470;9
291480;341
291500;1
291510;1
291550;3
291560;18
291600;4
291610;6
291620;1
291630;3
291640;7
291650;1
291660;2
291710;1
291720;2
291730;1
291750;11
291770;3
291790;1
291800;125
291810;1
291820;1
291835;8
291840;127
291845;1
291850;3
291875;3
291880;5
291890;1
291905;1
291915;3
291920;45
291930;1
291940;2
291955;20
291960;2
291970;1
291980;5
291990;1
291992;16
292010;3
292060;3
292070;1
292080;1
292100;16
292105;1
292120;5
292130;2
292140;1
292150;9
292170;3
292190;1
292200;3
292205;2
292220;1
292230;1
292240;4
292250;10
292265;3
292273;1
292290;3
292300;8
292310;1
292320;3
292335;1
292340;1
292360;10
292370;3
292380;1
292390;1
292400;27
292410;1
292420;1
292430;3
292460;3
292465;3
292470;1
292480;2
292500;1
292510;3
292520;18
292530;126
292550;2
292560;1
292575;5
292580;2
292590;3
292595;6
292600;4
292620;1
292630;2
292640;2
292660;23
292670;2
292700;4
292710;1
292720;5
292730;1
292740;10818
292750;1
292760;1
292770;2
292800;9
292810;5
292820;1
292840;5
292850;9
292860;1
292870;76
292880;7
292890;1
292895;5
292900;9
292905;1
292910;7
292920;1
292925;9
292930;1
292937;1
292940;2
292950;13
292960;8
292970;3
292975;3
292990;10
293010;16
293050;18
293070;37
293076;1
293077;1
293080;2
293110;1
293120;2
293135;146
293140;5
293150;2
293170;2
293180;1
293190;13
293200;1
293210;4
293220;3
293230;2
293240;1
293245;2
293290;11
293300;7
293310;1
293320;8
293330;1214
293350;1
293360;1
310010;1
310020;5
310060;1
310070;1
310090;5
310110;11
310120;5
310150;21
310160;78
310170;6
310200;1
310230;1
310260;66
310280;2
310285;2
310340;8
310350;36
310375;2
310380;1
310400;81
310420;5
310430;3
310450;2
310470;1
