"COD_MUNIC";"NOTIFICACOES"
"330420";5
"330452";1
"330455";158
"330520";1
"330570";3
"330610";2
"350010";1
"350140";1
"350160";3
"350190";30
"350200";1
"350275";1
"350320";5
"350330";1
"350450";3
"350580";1
"350590";18
"350600";22
"350670";1
"350715";1
"350750";8
"350760";1
"350900";1
"350930";1
"350950";56
"351210";3
"351320";1
"351340";1
"351350";9
"351380";66
"351410";1
"351518";2
"351640";6
"351700";5
"351810";3
"351880";5
"351907";1
"351990";1
"352044";10
"352050";5
"352080";4
"352215";1
"352240";32
"352310";9
"352320";1
"352330";1
"352380";6
"352530";44
"352550";5
"352590";16
"352610";3
"352680";1
"352730";1
"352740";4
"352860";3
"352900";40
"352940";3
"353000";1
"353060";3
"353070";9
"353160";1
"353282";1
"353370";1
"353460";1
"353620";13
"353870";10
"354140";2
"354250";1
"354260";26
"354340";132
"354390";21
"354430";1
"354450";1
"354515";1
"354530";2
"354670";3
"354680";1
"354780";9
"354810";3
"354850";6
"354870";10
"354890";2
"354910";14
"354980";5
"354990";34
"355030";62
"355070";1
"355170";1
"355220";15
"355250";1
"410060";1
"410070";1
"410105";1
"410150";7
"410160";1
"410180";4
"410260";2
"410275";1
"410290";5
"410322";1
"410400";1
"410410";1
"410465";1
"410480";50
"410580";4
"410645";1
"410650";1
"410690";213
"410715";1
"410725";3
"410754";1
"410765";2
"410830";1
"410950";1
"410960";1
"410965";3
"410980";1
"410990";1
"411010";31
"411065";1
"411070";1
"411370";20
"411390";1
"411510";1
"411520";12
"411560";1
"411580";1
"411670";13
"411770";1
"411840";2
"411850";6
"411860";4
"411870";1
"411915";3
"411920";1
"411930";1
"411965";1
"411970";4
"412035";1
"412060";1
"412120";8
"412200";3
"412215";1
"412220";2
"412240";2
"412382";5
"412405";1
"412550";1
"412667";1
"412760";1
"412796";1
"412863";1
"420240";3
"420243";4
"420420";2
"420460";3
"420535";4
"420540";23
"420545";1
"420580";4
"420665";1
"420775";1
"420830";4
"420910";58
"421010";3
"421120";1
"421130";1
"421175";3
"421200";1
"421310";1
"421410";1
"421660";1
"421835";1
"421885";1
"421900";2
"421950";8
"430010";2
"430040";98
"430057";2
"430060";1
"430070";1
"430160";1
"430187";1
"430190";1
"430310";7
"430420";1
"430460";1
"430466";2
"430468";2
"430470";1
"430471";2
"430500";1
"430510";155
"430513";1
"430535";1
"430610";2
"430650";1
"430690";2
"430700";6
"430760";1
"430790";2
"430910";1
"430915";2
"430920";14
"430930";3
"431010";1
"431020";3
"431033";2
"431043";1
"431085";1
"431140";7
"431150";1
"431175";1
"431180";56
"431240";1
"431280";1
"431306";1
"431337";1
"431340";2
"431370";6
"431390";1
"431395";1
"431410";13
"431420";1
"431445";2
"431449";1
"431490";69
"431517";1
"431530";1
"431532";1
"431560";4
"431570";1
"431640";1
"431675";1
"431680";14
"431690";14
"431720";11
"431740";2
"431750";2
"431770";1
"431830";1
"431843";1
"431846";1
"431870";1
"431960";2
"431990";2
"432032";1
"432055";1
"432070";1
"432145";3
"432149";2
"432162";1
"432190";1
"432210";5
"432260";1
"432270";2
"432290";1
"432300";2
"432380";1
"500070";8
"500110";2
"500260";1
"500270";20
"500280";1
"500310";1
"500320";3
"500345";1
"500370";16
"500450";3
"500480";1
"500490";1
"500580";1
"500600";1
"500660";4
"500750";3
"500755";1
"500780";1
"500830";3
"510020";2
"510170";1
"510180";2
"510250";2
"510263";1
"510285";2
"510320";5
"510340";1
"510410";5
"510460";1
"510480";1
"510515";1
"510517";3
"510520";1
"510530";1
"510562";1
"510619";6
"510621";1
"510622";2
"510625";1
"510627";2
"510642";1
"510645";1
"510665";2
"510675";4
"510704";6
"510760";2
"510785";6
"510790";2
"520030";1
"520110";15
"520140";2
"520340";1
"520440";1
"520590";3
"520620";1
"520790";1
"520800";2
"520815";1
"520870";12
"521150";2
"521770";4
"521810";1
"521900";1
"521945";1
"522157";1
"530010";2423
